c_total,Cd,Pb,Mod1,Mod2,Mod3
50.0,50.0,0.0,1.1380114525340261,1.2063749175498726,0.640331218941294
50.0,50.0,0.0,1.0653071152646747,1.219024470556596,0.4712879716964366
50.0,50.0,0.0,1.0384570482455875,1.1852096523882962,0.622328478142249
70.0,0.0,70.0,-0.9365890481711183,-0.6685699392244591,-0.04714118615255909
70.0,0.0,70.0,-0.9387006263079157,-0.706270567793517,-0.46731022325321897
70.0,0.0,70.0,-0.9225185322453499,-0.7056918300742552,0.22231919225895283
70.0,0.0,70.0,-0.916894328866771,-0.6956879352127288,0.31040817926552405
70.0,14.0,56.0,-0.6802074354383569,-0.533889404270522,-0.14880274640670524
70.0,14.0,56.0,-0.6541879892029387,-0.6125150572730966,0.7535576735151952
70.0,14.0,56.0,-0.6674979367002872,-0.6581526602777458,0.8301149509776777
70.0,14.0,56.0,-0.6824491108063314,-0.652530636719202,0.5852113065593332
70.0,28.0,42.0,-0.1223605156303115,-0.386063255407637,0.6068145955181872
70.0,28.0,42.0,-0.08847519064833992,-0.40681513648402634,0.4499003837794145
70.0,28.0,42.0,-0.22447683462500673,-0.5132202000111701,0.29029820521166
70.0,28.0,42.0,-0.26555753723900355,-0.5315744533934745,0.3838129030396945
70.0,42.0,28.0,0.446934960521318,0.3507525380297404,0.8481176917767227
70.0,42.0,28.0,0.4983533892742329,0.47435437950066484,0.7993028867713861
70.0,42.0,28.0,0.6364165739910905,0.9113840343604019,0.6079594702786795
70.0,42.0,28.0,0.5886308602318129,0.502381820476346,1.0060108543976554
70.0,56.0,14.0,1.4624739470896913,2.692325350163201,1.0530502739048375
70.0,56.0,14.0,1.5579853297323187,2.081343672256758,1.226540281088998
70.0,56.0,14.0,1.4957488158330625,2.377657384518827,1.457141287195106
70.0,56.0,14.0,1.3804326316135533,2.1755125668623654,1.2934407888325459
70.0,70.0,0.0,1.910999162791695,2.569632953679688,1.0964061833130445
70.0,70.0,0.0,1.8605214370949834,2.5459047071899517,1.2367777843820955
70.0,70.0,0.0,1.8120151848245711,2.6221327324984416,1.111223185648111
70.0,70.0,0.0,1.7024432937354965,2.159059880271921,-0.017042594623095878
100.0,0.0,100.0,-0.8980202228667714,-0.6827076749378558,-0.7637166395058821
100.0,0.0,100.0,-0.8745626913376098,-0.62293233621981,-0.6953394092451776
100.0,0.0,100.0,-0.7180657297108904,-0.6230976898538848,-0.577666194731973
100.0,0.0,100.0,-0.8641649203227638,-0.6680738783222346,-0.5348080569587627
100.0,20.0,80.0,-0.47866680938640016,-0.160355544895514,-0.3136978966932573
100.0,20.0,80.0,-0.49987265806826603,-0.15539493587326955,-0.2452211121055535
100.0,20.0,80.0,-0.5205681253047448,-0.2762684423819596,-0.05878904241148036
100.0,20.0,80.0,-0.3601882617013554,-0.29635890892204964,-0.11254837899111697
100.0,40.0,60.0,0.734309736712191,0.6226765892657743,-0.25411463198416007
100.0,40.0,60.0,0.6092462676337211,0.7827389070501956,-0.39184804338772905
100.0,40.0,60.0,0.6490059829773045,0.635822203174722,-0.17379088248353633
100.0,40.0,60.0,0.6048930141289492,0.6669913631978248,-0.24022680336775393
100.0,60.0,40.0,1.4439100729486525,2.201969148314336,0.6409617296789564
100.0,60.0,40.0,1.4420386743155666,2.0948199934338554,0.6067482259668543
100.0,60.0,40.0,1.4894541113399555,2.0919263048375463,0.408900593443525
100.0,60.0,40.0,1.5469170576029447,2.2088313241284405,0.5873517245898188
100.0,80.0,20.0,1.717624639865931,2.3918777970492613,0.709504883817993
100.0,80.0,20.0,1.7635889923887293,2.7113410180818045,0.88354243980065
100.0,80.0,20.0,1.759445895949705,2.7869076288539953,0.924807708341871
100.0,80.0,20.0,1.5950630406177897,1.9889936676259736,0.902972125953352
100.0,100.0,0.0,1.7918401065128007,2.472322340026659,0.14657494180029815
100.0,100.0,0.0,1.7090382226082428,2.5251528261135627,0.8194958227644162
100.0,100.0,0.0,1.825685401577487,2.5476409203477375,0.9246417844635388
100.0,100.0,0.0,1.651645328700503,2.1221860198732374,0.7920022361247687
200.0,0.0,200.0,-0.7730968584988,-0.05874573675653995,-0.6726907998528306
200.0,0.0,200.0,-0.7748481673800302,-0.09132040266927857,-0.7487503056803165
200.0,0.0,200.0,-0.7446956321849089,-0.06279690079137293,-0.7643305578557112
200.0,0.0,200.0,-0.7859164395094042,-0.12199350179015683,-0.7050293637397788
200.0,40.0,160.0,0.536802124826724,0.6488851402666325,-0.6306125043077818
200.0,40.0,160.0,0.5220911302243914,0.5280943105749799,-0.5767702057889791
200.0,40.0,160.0,0.6189134926581111,0.5367753763639077,-0.4805841335197959
200.0,40.0,160.0,0.45384012125302514,0.4081302490537013,-0.4616190342264241
200.0,80.0,120.0,1.6713800779221357,0.863348803661668,-0.19255687312290948
200.0,80.0,120.0,1.6526861065499197,0.8850928065425063,-0.26297496708710016
200.0,80.0,120.0,1.7116902046283913,0.8749235580469051,-0.24503859583938808
200.0,80.0,120.0,1.664584999462963,0.8872424037854789,-0.12464422972153522
200.0,120.0,80.0,1.6610323443038961,1.4195984286893468,-0.1630224227797758
200.0,120.0,80.0,1.63007921076307,1.374622240220997,-0.19214206342707896
200.0,120.0,80.0,1.798274915716406,1.1385799275791983,-0.043573822768416544
200.0,120.0,80.0,1.7485977883653998,1.3651144062616951,0.00847649786439829
200.0,160.0,40.0,1.949547973137399,2.0724972528337555,1.0173102705120791
200.0,160.0,40.0,1.9034435159041023,2.123508848945836,1.1176942169030673
200.0,160.0,40.0,1.8244544816209654,2.014788834541645,1.288794920239244
200.0,160.0,40.0,1.7988653569963635,1.8615060157542909,1.1988144010196855
200.0,200.0,0.0,1.9461654451267947,2.139713505085168,1.3567407484162848
200.0,200.0,0.0,1.8785248923940285,2.2180911276366304,1.6714983456124903
200.0,200.0,0.0,1.9310741663102522,2.2589334752531096,1.658556283102578
